state_code,period_start,period_end,period_type,operator_raw,operator_reported,operator_standard,parent_company,channel,sport_category,handle,gross_revenue,standard_ggr,promo_credits,net_revenue,payouts,tax_paid,federal_excise_tax,hold_pct,days_in_period,is_partial_period,data_is_revised,source_file,source_sheet,source_row,source_column,source_page,source_table_index,source_url,source_report_url,source_screenshot,source_raw_line,source_context,scrape_timestamp
MO,2026-01-01,2026-01-31,monthly,ALL,TOTAL,TOTAL,,online,baseball,6014211,5565685,5565685,,,448526,,,0.9254223039397853,31,False,False,SW_Monthly_Financials_0126.xlsx,SPORT DETAIL MOBILE,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/01_Jan/SW Monthly Financials 0126.xlsx,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,MO/screenshots/MO_2026_04_SW_Monthly_Financials_0126.png,,,2026-04-01T21:14:30.940001
MO,2026-01-01,2026-01-31,monthly,ALL,TOTAL,TOTAL,,online,basketball,10738816257,605629817,605629817,,,10133186440,,,0.05639632921414646,31,False,False,SW_Monthly_Financials_0126.xlsx,SPORT DETAIL MOBILE,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/01_Jan/SW Monthly Financials 0126.xlsx,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,MO/screenshots/MO_2026_04_SW_Monthly_Financials_0126.png,,,2026-04-01T21:14:30.940001
MO,2026-01-01,2026-01-31,monthly,ALL,TOTAL,TOTAL,,online,combat_sports,228966785,54446617,54446617,,,174520168,,,0.23779264315564375,31,False,False,SW_Monthly_Financials_0126.xlsx,SPORT DETAIL MOBILE,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/01_Jan/SW Monthly Financials 0126.xlsx,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,MO/screenshots/MO_2026_04_SW_Monthly_Financials_0126.png,,,2026-04-01T21:14:30.940001
MO,2026-01-01,2026-01-31,monthly,ALL,TOTAL,TOTAL,,online,football,7040374220,796436566,796436566,,,6243937654,,,0.11312418077685649,31,False,False,SW_Monthly_Financials_0126.xlsx,SPORT DETAIL MOBILE,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/01_Jan/SW Monthly Financials 0126.xlsx,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,MO/screenshots/MO_2026_04_SW_Monthly_Financials_0126.png,,,2026-04-01T21:14:30.940001
MO,2026-01-01,2026-01-31,monthly,ALL,TOTAL,TOTAL,,online,hockey,1378294762,121803089,121803089,,,1256491673,,,0.08837230783874951,31,False,False,SW_Monthly_Financials_0126.xlsx,SPORT DETAIL MOBILE,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/01_Jan/SW Monthly Financials 0126.xlsx,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,MO/screenshots/MO_2026_04_SW_Monthly_Financials_0126.png,,,2026-04-01T21:14:30.940001
MO,2026-01-01,2026-01-31,monthly,ALL,TOTAL,TOTAL,,online,soccer,1005064869,81530159,81530159,,,923534710,,,0.08111930037025301,31,False,False,SW_Monthly_Financials_0126.xlsx,SPORT DETAIL MOBILE,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/01_Jan/SW Monthly Financials 0126.xlsx,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,MO/screenshots/MO_2026_04_SW_Monthly_Financials_0126.png,,,2026-04-01T21:14:30.940001
MO,2026-01-01,2026-01-31,monthly,ALL,TOTAL,TOTAL,,online,tennis,1330537630,78765845,78765845,,,1251771785,,,0.059198509853494334,31,False,False,SW_Monthly_Financials_0126.xlsx,SPORT DETAIL MOBILE,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/01_Jan/SW Monthly Financials 0126.xlsx,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,MO/screenshots/MO_2026_04_SW_Monthly_Financials_0126.png,,,2026-04-01T21:14:30.940001
MO,2026-01-01,2026-01-31,monthly,ALL,TOTAL,TOTAL,,online,motorsports,3774426,1135836,1135836,,,2638590,,,0.3009294658313608,31,False,False,SW_Monthly_Financials_0126.xlsx,SPORT DETAIL MOBILE,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/01_Jan/SW Monthly Financials 0126.xlsx,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,MO/screenshots/MO_2026_04_SW_Monthly_Financials_0126.png,,,2026-04-01T21:14:30.940001
MO,2026-01-01,2026-01-31,monthly,ALL,TOTAL,TOTAL,,online,parlay,14174580563,3561084123,3561084123,,,10613496440,,,0.25123029970251964,31,False,False,SW_Monthly_Financials_0126.xlsx,SPORT DETAIL MOBILE,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/01_Jan/SW Monthly Financials 0126.xlsx,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,MO/screenshots/MO_2026_04_SW_Monthly_Financials_0126.png,,,2026-04-01T21:14:30.940001
MO,2025-12-01,2025-12-31,monthly,ALL,TOTAL,TOTAL,,online,baseball,300481121,16220711,16220711,,,284260410,,,0.053982463011378344,31,False,False,SW_Monthly_Financials_1225.xls,SPORT DETAIL MOBILE,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/12_Dec/SW Monthly Financials 1225.xls,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,,,,2026-04-01T21:14:32.496513
MO,2025-12-01,2025-12-31,monthly,ALL,TOTAL,TOTAL,,retail,football,190743194,29694710,29694710,,,161048484,,,0.15567900157947445,31,False,False,SW_Monthly_Financials_1225.xls,SPORT DETAIL RETAIL,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/12_Dec/SW Monthly Financials 1225.xls,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,,,,2026-04-01T21:14:32.496513
MO,2025-12-01,2025-12-31,monthly,ALL,TOTAL,TOTAL,,retail,hockey,10145861,3359993,3359993,,,6785868,,,0.3311688382089997,31,False,False,SW_Monthly_Financials_1225.xls,SPORT DETAIL RETAIL,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/12_Dec/SW Monthly Financials 1225.xls,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,,,,2026-04-01T21:14:32.496513
MO,2025-12-01,2025-12-31,monthly,ALL,TOTAL,TOTAL,,retail,soccer,1506854,701743,701743,,,805111,,,0.4657007248213828,31,False,False,SW_Monthly_Financials_1225.xls,SPORT DETAIL RETAIL,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/12_Dec/SW Monthly Financials 1225.xls,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,,,,2026-04-01T21:14:32.496513
MO,2025-12-01,2025-12-31,monthly,ALL,TOTAL,TOTAL,,retail,tennis,55970,-1456,-1456,,,57426,,,-0.026013936037162767,31,False,False,SW_Monthly_Financials_1225.xls,SPORT DETAIL RETAIL,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/12_Dec/SW Monthly Financials 1225.xls,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,,,,2026-04-01T21:14:32.496513
MO,2025-12-01,2025-12-31,monthly,ALL,TOTAL,TOTAL,,retail,motorsports,24000,22750,22750,,,1250,,,0.9479166666666666,31,False,False,SW_Monthly_Financials_1225.xls,SPORT DETAIL RETAIL,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/12_Dec/SW Monthly Financials 1225.xls,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,,,,2026-04-01T21:14:32.496513
MO,2025-12-01,2025-12-31,monthly,ALL,TOTAL,TOTAL,,retail,parlay,127965075,52202239,52202239,,,75762836,,,0.40794129960850645,31,False,False,SW_Monthly_Financials_1225.xls,SPORT DETAIL RETAIL,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/12_Dec/SW Monthly Financials 1225.xls,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,,,,2026-04-01T21:14:32.496513
MO,2025-12-01,2025-12-31,monthly,ALL,TOTAL,TOTAL,,retail,other,15947845,5055279,5055279,,,10892566,,,0.3169882200385068,31,False,False,SW_Monthly_Financials_1225.xls,SPORT DETAIL RETAIL,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/12_Dec/SW Monthly Financials 1225.xls,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,,,,2026-04-01T21:14:32.496513
MO,2025-12-01,2025-12-31,monthly,ALL,TOTAL,TOTAL,,online,basketball,9824232648,1127759036,1127759036,,,8696473612,,,0.1147936003153984,31,False,False,SW_Monthly_Financials_1225.xls,SPORT DETAIL MOBILE,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/12_Dec/SW Monthly Financials 1225.xls,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,,,,2026-04-01T21:14:32.496513
MO,2026-01-01,2026-01-31,monthly,ALL,TOTAL,TOTAL,,online,other,2050376424,10073137,10073137,,,2040303287,,,0.004912823266056048,31,False,False,SW_Monthly_Financials_0126.xlsx,SPORT DETAIL MOBILE,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/01_Jan/SW Monthly Financials 0126.xlsx,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,MO/screenshots/MO_2026_04_SW_Monthly_Financials_0126.png,,,2026-04-01T21:14:30.940001
MO,2025-12-01,2025-12-31,monthly,ALL,TOTAL,TOTAL,,online,combat_sports,351755745,185584277,185584277,,,166171468,,,0.5275941605445563,31,False,False,SW_Monthly_Financials_1225.xls,SPORT DETAIL MOBILE,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/12_Dec/SW Monthly Financials 1225.xls,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,,,,2026-04-01T21:14:32.496513
MO,2025-12-01,2025-12-31,monthly,ALL,TOTAL,TOTAL,,online,football,14979842704,984288608,984288608,,,13995554096,,,0.06570753962170577,31,False,False,SW_Monthly_Financials_1225.xls,SPORT DETAIL MOBILE,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/12_Dec/SW Monthly Financials 1225.xls,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,,,,2026-04-01T21:14:32.496513
MO,2025-12-01,2025-12-31,monthly,ALL,TOTAL,TOTAL,,online,hockey,1755642515,117618092,117618092,,,1638024423,,,0.06699432885401502,31,False,False,SW_Monthly_Financials_1225.xls,SPORT DETAIL MOBILE,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/12_Dec/SW Monthly Financials 1225.xls,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,,,,2026-04-01T21:14:32.496513
