period_end,sport,handle
2023-06-30,Football,1638998.0
2023-06-30,Other,51007831.96
2023-06-30,Parlay,81990091.05
2023-05-31,Baseball,64885876.67
2023-05-31,Basketball,71987475.87
2023-05-31,Football,1962631.93
2023-05-31,Other,68970833.28
2023-05-31,Parlay,79426007.63
2023-04-30,Baseball,61229073.11
2023-04-30,Basketball,90300082.85
2023-04-30,Football,3448419.63
2023-04-30,Other,73950785.43
2023-04-30,Parlay,91555965.35
2023-03-31,Baseball,7132239.3
2023-03-31,Basketball,224301060.46
2023-03-31,Football,1616832.99
2023-03-31,Other,71718146.11
2023-03-31,Parlay,127941509.2
2023-02-28,Baseball,441296.34
2023-02-28,Basketball,165993508.9
2023-02-28,Football,20587943.54
2023-02-28,Other,69281671.37
2023-02-28,Parlay,99554994.98
2023-01-31,Baseball,52374.53
2023-01-31,Basketball,155578660.46
2023-01-31,Football,90619055.86
2023-01-31,Other,55630299.77
2023-01-31,Parlay,124695317.44
2022-12-31,Baseball,66974.56
2022-12-31,Basketball,130023875.37
2022-12-31,Football,136249589.33
2022-12-31,Other,45764348.43
2022-12-31,Parlay,119040506.13
2022-11-30,Baseball,3751556.45
2022-11-30,Basketball,124685721.09
2022-11-30,Football,137626592.17
2022-11-30,Other,59376186.67
2022-11-30,Parlay,126501366.16
2022-10-31,Baseball,32451491.36
2022-10-31,Basketball,57098504.81
2022-10-31,Football,168582722.08
2022-10-31,Other,61399551.5
2022-10-31,Parlay,126222253.63
2022-09-30,Baseball,52996153.89
2022-09-30,Basketball,10282332.09
2022-09-30,Football,153873531.97
2022-09-30,Other,54996008.99
2022-09-30,Parlay,108745771.01
2022-08-31,Baseball,77597657.47
2022-08-31,Basketball,12513807.59
2022-08-31,Football,17635496.31
2022-08-31,Other,62330606.45
2022-08-31,Parlay,64653119.99
2022-07-31,Baseball,76141531.04
2022-07-31,Basketball,16060943.74
2022-07-31,Football,2860139.32
2022-07-31,Other,56777078.25
2022-07-31,Parlay,53521149.0
2022-06-30,Baseball,84561418.99
2022-06-30,Basketball,36388914.13
2022-06-30,Football,886991.45
2022-06-30,Other,68928806.67
2022-06-30,Parlay,64377546.43
2022-05-31,Baseball,69067518.88
2022-05-31,Basketball,84455387.6
2022-05-31,Football,2304760.18
2022-05-31,Other,77204407.15
2022-05-31,Parlay,73073839.55
2022-04-30,Baseball,56719815.26
2022-04-30,Basketball,129210045.78
2022-04-30,Football,3832534.49
2022-04-30,Other,76545433.16
2022-04-30,Parlay,91327608.97
2022-03-31,Baseball,1586519.11
2022-03-31,Basketball,274082461.95
2022-03-31,Football,2040295.7
2022-03-31,Other,76545112.59
2022-03-31,Parlay,121322333.0
2022-02-28,Baseball,97273.38
2022-02-28,Basketball,201910037.0
2022-02-28,Football,30056935.26
2022-02-28,Other,74261996.7
2022-02-28,Parlay,101369238.41
2022-01-31,Baseball,24156.38
2022-01-31,Basketball,192390075.89
2022-01-31,Football,118296662.1
2022-01-31,Other,65081485.63
2022-01-31,Parlay,122596621.36
2021-12-31,Baseball,54132.1
2021-12-31,Basketball,148491021.71
2021-12-31,Football,141774896.84
2021-12-31,Other,52781038.89
2021-12-31,Parlay,117301536.88
2021-11-30,Baseball,1429279.37
2021-11-30,Basketball,132074597.5
2021-11-30,Football,136293732.7
2021-11-30,Other,69053936.81
2021-11-30,Parlay,119994084.13
2021-10-31,Baseball,34828982.11
2021-10-31,Basketball,53536428.78
2021-10-31,Football,175839772.23
2021-10-31,Other,67120993.68
2021-10-31,Parlay,127592800.55
2021-09-30,Baseball,52850070.6
2021-09-30,Basketball,5227773.64
2021-09-30,Football,148572607.72
2021-09-30,Other,52202678.49
2021-09-30,Parlay,91981692.36
2021-08-31,Baseball,68331129.22
2021-08-31,Basketball,5621169.32
2021-08-31,Football,13887182.59
2021-08-31,Other,43139116.68
2021-08-31,Parlay,82350650.99
2021-07-31,Baseball,63538402.38
2021-07-31,Basketball,26764228.73
2021-07-31,Football,2192156.83
2021-07-31,Other,53789663.94
2021-07-31,Parlay,45344025.81
2021-06-30,Baseball,60464395.64
2021-06-30,Basketball,77091360.92
2021-06-30,Football,1517833.93
2021-06-30,Other,52070178.39
2021-06-30,Parlay,58857217.8
2021-05-31,Baseball,50513137.38
2021-05-31,Basketball,82372376.54
2021-05-31,Football,1412499.27
2021-05-31,Other,51559445.72
2021-05-31,Parlay,62012331.84
2021-04-30,Baseball,44485645.49
2021-04-30,Basketball,76117419.28
2021-04-30,Football,3421978.88
2021-04-30,Other,50463227.51
2021-04-30,Parlay,60443360.26
2021-03-31,Baseball,1282210.44
2021-03-31,Basketball,160741256.39
2021-03-31,Football,13525178.77
2021-03-31,Other,62551907.87
2021-03-31,Parlay,77500968.0
2021-02-28,Baseball,91807.8
2021-02-28,Basketball,127206227.19
2021-02-28,Football,18759940.74
2021-02-28,Other,60034512.57
2021-02-28,Parlay,66412167.17
2021-01-31,Baseball,56796.76
2021-01-31,Basketball,133169727.24
2021-01-31,Football,77631196.45
2021-01-31,Other,50332707.88
2021-01-31,Parlay,86135548.89
2020-12-31,Baseball,19923.01
2020-12-31,Basketball,89717706.43
2020-12-31,Football,101789884.19
2020-12-31,Other,41531011.06
2020-12-31,Parlay,79181624.61
2020-11-30,Baseball,393584.51
2020-11-30,Basketball,17656868.88
2020-11-30,Football,113482906.67
2020-11-30,Other,53294010.88
2020-11-30,Parlay,66045256.28
2020-10-31,Baseball,26598228.559999995
2020-10-31,Basketball,10800271.040000001
2020-10-31,Football,84727557.29999998
2020-10-31,Other,45963478.44
2020-10-31,Parlay,61120207.83
2020-09-30,Baseball,30455440.36
2020-09-30,Basketball,34231092.19
2020-09-30,Football,48418139.52
2020-09-30,Other,43054700.6
2020-09-30,Parlay,50635031.91
2020-08-31,Baseball,31051537.13
2020-08-31,Basketball,55206838.230000004
2020-08-31,Football,717973.8300000001
2020-08-31,Other,36254527.08
2020-08-31,Parlay,43645275.79
2020-07-31,Baseball,14520960.28
2020-07-31,Basketball,5834237.41
2020-07-31,Football,1161481.34
2020-07-31,Other,33370840.34
2020-07-31,Parlay,15586701.97
2020-06-30,Baseball,2046825.0
2020-06-30,Basketball,618166.0
2020-06-30,Football,630519.0
2020-06-30,Other,20408642.0
2020-06-30,Parlay,6003914.0
2020-05-31,Baseball,959023.0
2020-05-31,Basketball,9908.0
2020-05-31,Football,437753.0
2020-05-31,Other,30471917.0
2020-05-31,Parlay,5134724.0
2020-04-30,Baseball,4981.0
2020-04-30,Basketball,9984.0
2020-04-30,Football,1319550.0
2020-04-30,Other,21005877.0
2020-04-30,Parlay,3963081.0
2020-03-31,Baseball,280325.0
2020-03-31,Basketball,34969432.0
2020-03-31,Football,741182.0
2020-03-31,Other,20376785.0
2020-03-31,Parlay,17826239.0
2020-02-29,Baseball,329340.0
